Months_as_a_Customer	Number_of_Products	RFM_Score	Average_Balance_Feed_Index	Number_of_Transactions	Personal_Debt_to_Equity_Ratio	Months_Current_Account	Number_of_Loan_Accounts	Customer_ID	Has_Bad_Payment_Record	Members_Within_Household	Number_of_Call_Center_Contacts	Weeks_Since_Last_Offer	Accepted_Personal_Loan	Accepted_Retention	Accepted_Home_Equity_Loan	Accepted_Credit_Card	Annual_value	Interested_in_Personal_Loan	Interested_in_Retention	Interested_in_Home_Equity_Loan	Interested_in_Credit_Card
36	0	0	0	0	45	35	0	26859	0	4	11	42	F	F	F	F	0	F	F	F	F
24	7	11	847	4	32	16	1	27084	0	3	10	22	F	T	F	T	310	F	F	F	F
24	0	0	0	0	47	22	1	26930	0	2	1	37	T	F	F	T	100	F	T	F	T
24	0	0	0	0	51	12	0	27268	0	6	8	43	F	F	F	F	0	F	F	F	F
12	0	0	0	0	38	9	0	27277	0	6	9	46	F	F	F	F	0	F	F	T	T
24	4	10	19	2	23	17	2	27333	0	5	8	23	F	F	T	F	320	F	F	F	F
24	2	11	179	1	26	21	0	10698	0	6	9	39	F	F	F	F	60	F	F	F	F
36	0	0	0	0	63	28	0	10782	0	2	10	41	F	F	F	F	0	F	F	F	F
24	6	12	178	3	36	17	1	10807	0	2	9	32	F	F	T	F	280	F	F	F	F
24	0	0	0	0	36	21	3	10855	0	4	10	31	F	F	F	F	300	F	F	F	F
24	0	0	0	0	36	22	0	10898	0	3	10	44	F	T	F	F	0	F	F	F	F
24	0	0	0	0	24	22	0	11050	0	3	7	31	F	F	F	F	0	F	F	F	F
36	0	0	0	0	14	29	0	11125	0	1	10	1	F	F	F	F	0	F	F	F	T
24	0	0	0	0	39	18	1	11457	0	2	10	40	F	F	F	F	100	F	T	F	F
12	0	0	0	0	44	8	1	11602	0	1	10	15	F	F	F	F	100	T	F	T	F
0	1	0	0	0	39	-3	2	11607	0	4	6	17	F	F	T	T	230	F	F	F	F
0	0	0	0	0	39	-2	0	11609	0	4	6	33	F	F	T	T	0	F	F	F	F
36	0	0	0	0	26	26	1	11616	0	4	11	28	F	F	F	F	100	F	F	F	F
0	0	0	0	0	68	-6	2	11659	0	2	9	31	F	F	F	T	200	F	F	F	F
0	0	0	0	0	38	-3	6	11916	0	3	10	13	F	F	F	F	600	F	F	F	F
48	0	0	0	0	27	37	1	11943	0	1	9	8	F	F	F	F	100	F	F	F	F
24	0	0	0	0	61	20	0	12645	0	4	9	15	F	F	F	F	0	F	F	F	F
12	0	0	0	0	38	0	1	12654	0	2	0	18	F	F	F	F	100	F	F	F	F
24	0	0	0	0	42	13	1	4102	0	6	9	6	T	F	F	F	100	F	F	F	F
48	3	11	104	3	40	38	0	4226	0	4	0	50	T	F	T	F	90	F	F	F	F
12	0	0	0	0	37	9	1	4374	0	1	11	37	F	F	F	T	100	F	F	F	F
24	3	10	70	1	30	13	3	4463	0	2	9	24	F	F	F	F	390	F	F	F	T
24	4	11	119	2	35	20	1	4383	0	5	0	28	F	F	F	F	220	F	F	F	T
48	5	13	45	2	59	41	0	4520	0	3	8	19	T	F	F	F	150	F	F	F	F
24	4	7	49	1	42	14	0	4310	0	2	10	48	F	F	F	F	120	F	F	F	F
12	4	13	308	2	46	9	0	4497	0	5	10	52	F	F	F	F	120	F	F	F	F
36	3	13	438	2	50	31	0	4590	0	2	11	34	F	F	F	F	90	F	F	F	T
12	3	12	229	2	33	9	0	4651	0	1	11	12	F	F	F	F	90	F	F	F	F
24	0	0	0	0	20	20	2	4686	0	2	9	37	F	T	F	F	200	F	F	F	F
0	0	0	0	0	37	-6	1	4643	0	1	11	22	F	T	F	F	100	F	F	F	F
36	0	0	0	0	48	33	0	4988	0	4	0	6	F	F	F	F	0	F	F	T	T
36	3	10	408	3	50	28	4	5008	0	4	0	12	F	T	F	F	490	F	T	F	F
0	0	0	0	0	60	-2	2	4896	0	3	10	42	F	F	F	F	200	F	F	F	T
24	0	0	0	0	35	13	1	5170	0	6	10	23	F	F	F	F	100	F	F	F	F
12	2	11	129	1	41	7	1	31930	0	1	0	7	F	F	F	F	160	F	F	F	T
0	0	0	0	0	56	-6	0	5030	0	4	11	9	F	F	T	F	0	F	T	F	T
0	0	0	0	0	42	-3	0	5147	0	4	8	49	T	F	T	F	0	F	F	F	F
12	0	0	0	0	29	11	3	5306	0	1	11	15	F	F	T	F	300	F	F	F	F
0	0	0	0	0	64	-1	1	32075	0	7	11	22	F	F	F	F	100	F	F	F	F
48	2	9	249	2	28	38	1	32150	0	1	0	15	F	F	F	F	160	F	F	F	F
0	1	0	0	0	36	-1	3	5197	0	3	0	22	F	F	F	F	330	F	F	F	F
24	0	0	0	0	39	18	0	5231	0	6	9	17	F	F	T	T	0	F	F	F	F
12	3	10	16	2	16	8	4	32229	0	6	10	44	T	F	F	T	490	F	F	F	F
24	0	0	0	0	41	22	1	32309	0	3	10	6	F	F	F	F	100	F	F	F	F
36	0	0	0	0	58	23	3	31987	0	3	11	29	F	F	F	F	300	T	F	F	F
36	0	0	0	0	27	23	0	32363	0	2	9	24	F	F	F	F	0	F	F	F	T
12	2	9	958	2	54	11	2	32534	0	4	9	51	F	F	F	T	260	F	F	F	F
24	0	0	0	0	31	15	0	32566	0	4	9	21	F	F	F	F	0	F	F	F	F
0	0	0	0	0	25	-5	1	32573	0	5	9	48	F	T	F	F	100	F	F	F	F
24	0	0	0	0	28	15	0	93	0	1	6	43	F	F	F	F	0	F	F	F	F
24	0	0	0	0	74	18	3	104	0	2	6	44	F	F	F	F	300	F	F	F	F
24	0	0	0	0	39	21	2	202	0	6	8	11	F	F	F	T	200	F	T	F	F
48	1	8	399	1	30	38	2	311	0	3	9	50	F	F	F	T	230	F	F	F	F
36	2	12	15	1	59	31	1	361	0	7	11	26	F	F	F	F	160	F	F	F	F
36	0	0	0	0	75	31	0	445	0	5	0	30	F	T	F	F	0	F	F	T	F
24	0	0	0	0	44	20	0	636	0	2	0	19	F	F	F	F	0	F	F	T	F
36	2	10	219	1	46	26	1	670	0	2	10	2	T	F	T	F	160	F	F	F	F
0	0	0	0	0	42	-1	1	1031	0	6	10	22	F	F	F	F	100	F	F	T	F
48	0	0	0	0	44	38	1	1315	0	6	11	31	T	F	F	F	100	F	F	F	F
36	0	0	0	0	40	23	2	1363	0	5	10	7	F	F	F	F	200	F	F	F	F
24	4	12	487	4	45	21	0	1781	0	6	9	6	F	F	F	F	120	F	F	F	F
12	0	0	0	0	63	0	1	1917	0	4	9	12	T	F	F	F	100	F	F	F	F
36	0	0	0	0	33	28	7	1958	0	5	9	37	F	F	F	F	700	F	F	F	F
24	0	0	0	0	28	16	1	2001	0	4	9	45	F	F	F	F	100	F	F	F	T
0	0	0	0	0	54	-6	0	2008	0	7	11	20	F	F	F	F	0	F	F	F	F
36	10	12	405	5	29	27	1	2015	0	2	8	46	F	T	F	F	400	F	F	F	F
0	0	0	0	0	31	-5	3	32553	0	2	9	3	F	F	F	F	300	F	F	F	F
0	0	0	0	0	35	-4	0	32621	0	3	7	4	F	F	F	F	0	T	T	F	T
0	0	0	0	0	59	-4	0	32686	0	6	10	49	F	F	F	F	0	F	F	F	F
36	0	0	0	0	25	31	1	22099	0	4	9	11	F	F	F	T	100	F	F	F	F
36	0	0	0	0	54	31	0	32684	0	5	7	44	F	F	F	F	0	F	F	F	F
48	0	0	0	0	32	40	1	22161	0	5	10	47	T	F	F	F	100	F	F	F	T
48	0	0	0	0	39	37	1	22181	0	4	10	13	F	F	F	F	100	F	F	F	F
36	3	10	317	2	37	28	1	22297	0	3	10	10	F	F	F	F	190	F	F	F	F
24	6	11	963	4	34	18	1	22449	0	2	10	40	F	F	F	T	280	F	T	F	T
36	0	0	0	0	42	27	0	9659	0	5	1	23	F	F	F	F	0	F	F	F	F
48	0	0	0	0	40	41	0	22688	0	2	9	11	F	T	F	F	0	F	F	F	F
24	2	9	124	1	48	13	0	9942	0	3	10	8	F	F	F	F	60	F	F	F	T
0	0	0	0	0	39	-6	1	9991	0	1	6	19	F	F	F	F	100	F	F	F	F
36	0	0	0	0	22	23	1	22756	0	4	8	45	F	F	F	F	100	F	F	F	F
24	0	0	0	0	40	22	0	22813	0	2	10	12	F	F	F	F	0	F	F	T	F
24	0	0	0	0	15	12	0	10124	0	5	10	13	F	F	F	F	0	F	F	F	F
12	1	12	89	1	40	8	1	10125	0	5	10	38	F	T	F	F	130	F	F	F	T
24	0	0	0	0	37	21	1	22600	0	1	10	38	F	F	F	F	100	F	T	F	F
12	3	9	134	2	53	8	2	22619	0	5	10	27	T	F	F	F	290	F	F	F	F
48	0	0	0	0	39	38	1	23056	0	6	11	22	F	F	F	F	100	F	F	T	F
48	0	0	0	0	42	37	1	10311	0	6	10	41	T	F	T	F	100	F	F	F	F
24	0	0	0	0	18	23	2	10345	0	6	0	21	F	F	F	F	200	F	F	F	F
48	3	10	129	2	39	35	0	22952	0	4	9	23	F	F	F	T	90	F	T	F	F
12	0	0	0	0	65	10	0	23001	0	6	11	19	F	F	F	F	0	F	F	F	F
12	2	8	150	1	55	6	0	23340	0	7	10	18	F	T	F	T	60	F	F	T	F
24	0	0	0	0	39	14	0	23220	0	1	9	44	F	F	F	F	0	F	F	T	F
24	0	0	0	0	52	17	0	23774	0	4	8	29	F	F	F	F	0	F	F	F	F
36	0	0	0	0	31	33	1	23656	0	6	10	13	F	F	F	T	100	F	F	F	F
0	0	0	0	0	45	-4	1	23869	0	3	11	31	F	F	F	F	100	F	F	F	F
12	0	0	0	0	55	7	0	23951	0	3	9	35	F	F	F	F	0	F	F	F	T
36	3	9	104	2	38	28	4	23821	0	4	0	8	F	F	F	F	490	F	T	F	T
36	0	0	0	0	37	25	1	23907	0	3	9	1	F	F	F	T	100	F	F	F	F
24	0	0	0	0	30	17	0	23957	0	3	11	1	F	F	F	F	0	F	F	T	F
24	0	0	0	0	64	16	0	21740	0	4	0	17	F	F	T	F	0	F	F	F	F
0	0	0	0	0	20	-5	0	21843	0	2	6	36	F	F	F	F	0	F	F	F	F
48	0	0	0	0	44	38	0	16039	0	2	8	29	F	T	F	F	0	F	F	F	F
36	3	11	348	2	36	24	5	16098	0	6	7	26	F	T	F	F	590	F	F	F	F
48	7	12	705	5	47	39	0	16255	0	2	1	4	F	F	F	F	210	F	F	F	F
12	4	12	279	1	45	10	0	16262	0	2	11	15	F	F	F	T	120	F	F	T	F
24	0	0	0	0	19	17	0	16598	0	6	10	25	F	F	F	T	0	F	F	F	F
12	2	9	349	1	70	8	0	16632	0	4	8	7	F	F	F	T	60	F	F	F	F
36	0	0	0	0	40	31	2	16689	0	1	11	21	F	F	T	T	200	F	T	F	F
24	32	30	405	23	20	11	0	16798	0	4	11	29	F	F	T	F	960	F	T	T	F
12	0	0	0	0	39	9	0	17284	0	6	10	51	F	F	F	F	0	F	F	F	F
48	3	11	189	2	46	39	2	17309	0	3	11	27	F	F	F	F	290	F	F	F	F
48	3	12	348	2	49	39	0	17393	0	4	0	38	F	F	F	F	90	F	T	T	F
12	4	11	349	3	22	10	0	17707	0	5	0	10	F	F	F	T	120	F	T	F	F
36	2	9	249	1	35	33	1	17718	0	5	10	2	F	F	F	F	160	F	F	F	F
0	0	0	0	0	43	-1	1	17927	0	1	10	44	F	F	F	F	100	F	F	F	F
0	0	0	0	0	16	-2	1	17950	0	3	11	44	F	F	F	F	100	F	T	F	F
36	0	0	0	0	45	34	0	21974	0	1	9	3	F	F	F	F	0	F	F	F	F
36	3	10	124	1	51	29	0	22025	0	6	10	6	F	T	F	F	90	F	F	F	F
36	3	10	29	1	30	33	5	24055	0	1	9	50	T	T	T	F	590	F	T	F	F
12	0	0	0	0	54	9	2	27433	0	4	11	13	F	F	F	F	200	F	F	F	F
0	0	0	0	0	17	-1	4	27698	0	4	9	20	F	F	F	F	400	F	F	F	F
36	0	0	0	0	39	27	1	27711	0	4	10	50	F	F	F	F	100	F	F	F	F
48	35	23	429	16	50	36	3	27779	0	6	8	17	F	F	F	F	1350	F	F	F	F
24	18	26	592	18	26	16	1	27605	0	3	11	45	F	F	F	F	640	F	T	F	F
36	0	0	0	0	17	29	1	27707	0	1	8	20	F	F	F	F	100	F	F	F	F
24	0	0	0	0	27	14	2	27792	0	1	9	42	T	F	F	F	200	F	F	F	F
0	1	0	0	0	35	-2	0	27884	0	4	0	19	F	F	F	F	30	F	F	F	F
36	0	0	0	0	44	32	3	27843	0	1	0	42	F	F	F	F	300	F	F	F	F
24	0	0	0	0	40	15	2	27861	0	2	11	19	F	F	F	F	200	T	F	F	F
36	0	0	0	0	59	24	1	28040	0	3	0	12	F	F	F	F	100	F	F	F	F
36	0	0	0	0	44	28	2	28149	0	1	11	18	F	F	F	F	200	F	F	F	F
24	3	12	199	1	37	11	0	28088	0	4	11	6	F	F	F	F	90	F	F	F	F
36	25	13	430	6	41	30	1	28179	0	6	10	8	F	F	F	F	850	F	F	F	F
0	0	0	0	0	26	-6	1	28181	0	6	0	1	F	F	F	F	100	F	F	F	T
0	0	0	0	0	44	-3	1	28074	0	1	0	25	F	F	F	T	100	F	F	F	F
36	23	30	517	23	19	34	1	28257	0	4	10	13	F	F	F	F	790	F	F	T	F
36	3	12	65	2	57	31	3	28429	0	6	3	22	T	F	F	F	390	F	F	F	F
48	0	0	0	0	28	37	0	28417	0	3	10	46	F	F	F	F	0	F	F	F	F
48	0	0	0	0	42	38	2	28574	0	6	11	3	F	F	F	T	200	F	F	F	F
0	0	0	0	0	44	-4	0	28601	0	6	11	12	F	F	T	F	0	F	F	T	F
12	0	0	0	0	38	9	1	28702	0	2	0	48	F	T	T	F	100	F	F	F	F
0	0	0	0	0	67	-6	1	28644	0	5	5	16	F	F	T	F	100	F	F	F	F
24	0	0	0	0	60	16	0	28820	0	6	11	51	T	F	F	F	0	F	F	F	F
24	0	0	0	0	61	19	1	28835	0	2	5	5	F	F	F	F	100	F	F	F	F
12	0	0	0	0	43	5	3	28903	0	6	10	20	F	F	T	F	300	F	F	F	F
36	4	11	124	2	29	27	3	29222	0	6	8	11	F	F	F	F	420	F	T	F	F
12	0	0	0	0	26	10	3	29109	0	4	1	2	T	F	F	F	300	F	F	F	F
0	0	0	0	0	38	-4	0	29120	0	5	8	23	F	F	F	F	0	F	F	F	F
36	6	11	278	3	53	26	1	29411	0	6	8	1	F	F	F	F	280	F	F	F	F
36	0	0	0	0	38	23	0	7708	0	3	11	20	T	F	F	F	0	F	F	F	F
48	0	0	0	0	41	40	1	7842	0	5	8	35	T	F	F	F	100	F	T	F	F
24	2	11	122	2	19	21	1	8142	0	6	10	10	F	F	F	F	160	F	F	F	F
36	3	8	120	1	44	25	0	8433	0	6	10	18	F	F	F	F	90	F	F	F	F
12	6	11	59	3	41	5	3	8485	0	6	10	5	F	F	F	F	480	F	F	F	F
24	0	0	0	0	39	19	0	8490	0	5	0	30	F	F	T	F	0	F	F	F	F
36	3	10	179	1	39	28	3	8692	0	6	0	24	F	F	F	F	390	F	F	F	F
24	0	0	0	0	41	14	1	8883	0	3	11	1	F	F	F	F	100	F	F	T	F
36	0	0	0	0	39	23	1	9126	0	6	0	23	F	F	T	F	100	F	T	F	F
36	0	0	0	0	31	32	1	9221	0	2	9	51	F	F	F	F	100	F	F	F	F
12	1	10	249	1	21	8	0	9335	0	5	0	44	F	T	F	F	30	F	F	F	F
48	0	0	0	0	43	39	1	12720	0	4	8	22	T	F	F	F	100	F	T	F	F
24	2	7	299	1	40	12	1	29188	0	2	8	9	F	F	F	F	160	F	F	F	F
36	0	0	0	0	35	28	1	29272	0	5	0	21	F	F	F	F	100	F	F	F	F
24	0	0	0	0	69	23	5	32837	0	7	11	21	F	F	F	F	500	F	F	F	F
36	3	13	158	2	35	27	2	33038	0	3	10	30	F	F	F	F	290	F	F	F	F
48	0	0	0	0	53	37	1	33120	0	3	9	32	T	F	F	F	100	F	F	F	F
24	0	0	0	0	32	19	0	33146	0	6	10	48	F	F	F	F	0	F	F	F	F
36	0	0	0	0	36	29	1	33141	0	4	10	43	F	F	F	F	100	F	F	F	F
36	0	0	0	0	39	34	0	33273	0	2	10	11	T	T	F	F	0	F	F	F	F
36	0	0	0	0	62	31	0	33332	0	6	10	9	F	F	F	T	0	F	F	F	F
0	0	0	0	0	48	-4	1	33252	0	7	9	18	F	F	F	F	100	F	F	F	T
48	3	12	248	3	60	36	6	33591	0	6	9	22	F	F	F	F	690	F	F	F	F
36	0	0	0	0	36	30	1	33715	0	4	11	33	F	F	F	F	100	F	F	T	F
12	3	13	278	2	32	9	1	33816	0	2	10	11	T	F	F	F	190	F	F	F	F
36	1	9	279	1	41	32	4	34034	0	5	9	33	F	T	F	F	430	F	F	F	F
48	0	0	0	0	36	40	0	34098	0	6	8	28	F	F	T	F	0	F	F	T	T
24	0	0	0	0	41	14	1	34125	0	3	11	25	F	F	F	F	100	F	F	F	T
0	2	0	0	0	48	-5	1	34135	0	4	8	7	F	F	T	T	160	F	F	F	F
24	24	16	617	6	19	23	0	34285	0	6	10	42	F	F	T	F	720	F	F	F	F
0	1	0	0	0	38	-2	0	34316	0	2	0	52	F	F	F	F	30	F	F	T	F
24	2	11	189	1	50	13	0	34360	0	3	9	40	F	T	F	F	60	F	T	F	F
36	5	11	203	3	42	23	2	34511	0	6	10	34	F	F	F	F	350	F	F	T	F
48	2	8	179	1	44	38	7	34517	0	3	11	33	T	F	F	F	760	F	F	F	F
36	0	0	0	0	67	30	0	34361	0	7	10	40	F	F	F	F	0	F	F	F	F
36	0	0	0	0	63	28	0	34563	0	6	9	48	F	F	F	F	0	F	F	F	F
12	0	0	0	0	53	9	2	12870	0	4	9	32	F	F	F	F	200	F	F	T	F
24	4	11	169	2	38	18	3	13120	0	3	11	17	F	F	F	F	420	F	F	F	F
36	3	10	10	1	46	23	1	13190	0	5	11	20	F	F	F	F	190	F	F	T	F
48	0	0	0	0	27	36	1	13813	0	3	8	25	F	F	F	T	100	F	F	T	T
24	4	10	299	3	36	18	2	13867	0	3	11	8	F	F	F	F	320	F	F	F	F
24	1	10	89	1	24	18	1	34704	0	2	0	1	F	F	F	F	130	F	F	F	F
12	0	0	0	0	45	10	0	24110	0	4	10	40	F	F	F	F	0	F	F	F	F
24	4	12	75	2	43	20	1	24133	0	1	11	14	T	F	F	F	220	F	T	F	F
0	1	0	0	0	36	-5	0	22291	0	3	8	36	F	F	F	F	30	F	F	F	F
36	0	0	0	0	34	23	1	24317	0	1	11	9	F	F	F	F	100	F	F	T	F
0	0	0	0	0	39	-1	0	24469	0	6	8	13	F	F	F	F	0	F	F	F	F
12	0	0	0	0	50	8	0	24478	0	4	9	7	T	F	T	F	0	F	F	T	F
24	0	0	0	0	26	16	2	24474	0	1	9	6	F	F	F	F	200	F	F	F	F
0	0	0	0	0	56	-6	0	24505	0	4	10	39	F	F	F	F	0	F	F	F	F
12	0	0	0	0	48	-1	1	24556	0	4	10	51	F	F	F	F	100	F	F	F	F
24	0	0	0	0	44	17	2	24574	0	2	9	22	F	F	F	F	200	F	F	F	F
12	7	15	395	7	33	5	3	24673	0	4	11	44	F	T	T	F	510	F	F	F	T
36	0	0	0	0	33	27	3	24769	0	6	10	1	F	F	F	F	300	F	F	F	F
0	0	0	0	0	24	-1	0	24773	0	1	11	21	F	T	F	F	0	F	F	F	F
12	0	0	0	0	52	0	6	25169	0	6	8	24	F	F	F	F	600	F	F	F	T
0	0	0	0	0	28	-4	0	24957	0	3	8	34	F	F	F	F	0	F	T	F	F
24	0	0	0	0	39	23	0	25057	0	3	7	34	F	F	F	T	0	F	F	F	F
36	0	0	0	0	36	31	0	23210	0	1	0	16	F	T	F	F	0	F	F	F	F
36	5	10	104	2	33	32	0	25287	0	2	8	19	T	F	F	F	150	F	F	F	F
36	0	0	0	0	28	23	3	25414	0	3	0	37	F	F	F	F	300	F	F	F	F
36	0	0	0	0	28	35	0	25193	0	6	0	51	F	F	F	F	0	F	F	F	F
12	2	9	119	1	40	10	2	25208	0	1	9	34	F	F	F	F	260	F	F	F	F
36	29	22	211	15	40	29	2	25326	0	6	10	28	F	F	F	F	1070	F	F	F	F
48	0	0	0	0	22	37	1	23330	0	1	6	50	F	F	F	F	100	F	T	F	F
0	0	0	0	0	32	-4	0	23379	0	3	10	50	F	F	F	F	0	F	F	F	F
48	0	0	0	0	44	40	2	23445	0	3	11	51	F	F	F	F	200	F	T	T	F
48	0	0	0	0	51	40	0	23480	0	6	0	11	F	F	F	F	0	F	F	F	F
12	0	0	0	0	41	0	1	25448	0	2	6	41	F	F	F	F	100	F	T	F	T
36	0	0	0	0	37	28	2	25623	0	5	10	44	T	F	F	F	200	F	F	T	F
36	2	11	299	1	39	26	3	25392	0	5	9	14	F	F	F	F	360	F	F	F	F
24	3	12	112	3	21	19	0	25408	0	1	11	42	F	F	F	F	90	T	F	F	T
12	0	0	0	0	37	7	1	25542	0	6	11	32	F	F	F	F	100	F	T	F	F
24	0	0	0	0	48	13	0	25810	0	4	8	25	F	F	F	F	0	F	F	F	F
36	0	0	0	0	61	25	1	23829	0	5	9	13	F	F	F	F	100	F	F	F	F
24	2	12	80	2	28	17	1	25898	0	4	9	24	F	F	F	F	160	F	F	F	F
0	1	0	0	0	50	-4	0	2117	0	2	10	35	T	F	F	F	30	F	F	F	F
24	0	0	0	0	73	14	0	2158	0	4	0	39	F	F	F	F	0	F	T	F	F
48	0	0	0	0	34	36	2	2408	0	1	9	20	F	F	F	F	200	F	T	F	F
48	1	13	499	1	50	36	1	2442	0	2	11	14	F	T	F	T	130	F	F	F	F
36	4	9	799	1	31	30	4	2583	0	1	0	24	F	T	F	F	520	F	F	T	F
24	3	8	223	2	26	15	3	2624	0	5	0	6	F	F	F	F	390	F	F	F	F
0	0	0	0	0	43	-3	0	2667	0	2	11	10	F	T	F	F	0	F	F	F	F
36	2	10	299	1	28	23	0	2728	0	5	9	16	F	F	F	F	60	F	F	F	F
24	3	10	105	2	39	13	1	3144	0	6	9	13	F	T	F	F	190	F	F	F	F
36	0	0	0	0	51	29	0	3344	0	3	8	32	F	F	F	F	0	F	F	T	F
0	0	0	0	0	29	-1	0	3587	0	2	0	18	F	F	F	F	0	F	F	F	F
24	0	0	0	0	36	17	4	3669	0	1	11	30	F	F	F	F	400	F	F	F	F
36	0	0	0	0	42	34	1	3696	0	2	10	2	F	F	T	F	100	F	F	T	F
0	0	0	0	0	41	-4	0	3898	0	2	8	28	F	F	F	F	0	F	F	F	F
12	0	0	0	0	39	7	2	3923	0	6	7	26	F	T	F	F	200	F	F	F	F
24	3	11	164	2	73	15	0	4003	0	5	10	4	F	F	F	F	90	F	F	F	F
48	4	9	559	1	54	36	0	9430	0	2	9	27	F	F	F	F	120	F	F	F	F
36	2	8	70	1	63	28	0	24014	0	2	9	9	F	F	F	F	60	F	F	F	F
36	2	9	228	2	57	35	0	24096	0	7	9	31	F	F	T	F	60	F	F	F	F
12	0	0	0	0	63	9	0	29431	0	2	0	1	F	F	F	F	0	F	F	F	F
24	4	10	293	2	42	19	1	29433	0	2	5	7	F	T	T	F	220	F	T	F	F
0	0	0	0	0	49	-4	0	29881	0	2	10	38	F	F	F	F	0	F	F	F	F
0	0	0	0	0	45	-1	0	29837	0	1	11	4	F	F	F	F	0	F	F	F	F
36	0	0	0	0	30	29	1	29971	0	3	0	37	F	F	F	F	100	F	F	F	F
0	0	0	0	0	71	-4	1	29858	0	3	11	26	F	F	F	F	100	F	T	F	T
36	4	10	94	3	46	27	1	30103	0	5	8	3	F	F	F	T	220	F	T	F	F
48	3	14	89	2	51	36	0	30210	0	3	9	8	F	F	F	F	90	F	F	F	F
36	0	0	0	0	25	30	7	30174	0	6	8	5	F	F	F	F	700	F	F	F	F
12	27	19	257	12	50	9	0	30207	0	7	10	41	F	F	F	T	810	F	F	F	F
0	1	0	0	0	27	-2	0	30599	0	1	7	4	F	F	F	F	30	F	T	F	T
36	0	0	0	0	71	31	0	30440	0	3	8	35	F	F	F	F	0	F	F	F	F
24	5	9	194	2	35	14	6	30523	0	2	11	10	F	F	F	F	750	F	F	F	F
0	0	0	0	0	33	-3	0	30501	0	3	9	24	F	F	F	F	0	F	F	F	F
24	4	10	164	3	72	14	5	30512	0	7	9	20	F	F	F	F	620	F	F	F	F
36	0	0	0	0	40	35	3	30653	0	6	7	23	F	F	F	F	300	F	F	F	F
24	0	0	0	0	30	17	0	30799	0	4	9	7	F	F	F	F	0	F	F	F	F
24	0	0	0	0	38	15	1	30815	0	5	11	11	T	F	F	F	100	F	F	F	F
48	0	0	0	0	25	41	0	30931	0	3	10	15	F	F	F	F	0	T	F	F	F
0	0	0	0	0	41	-5	0	30741	0	6	0	43	F	F	F	F	0	F	F	F	F
24	0	0	0	0	42	15	1	30878	0	2	11	37	F	F	F	F	100	F	F	F	T
36	0	0	0	0	45	34	1	31015	0	3	11	47	F	F	F	F	100	F	F	T	F
0	0	0	0	0	28	-6	5	31135	0	3	10	30	F	F	F	F	500	F	F	F	F
36	1	10	124	1	21	28	5	30809	0	6	11	47	F	F	F	F	530	F	F	F	F
0	1	0	0	0	48	-4	0	30824	0	6	0	38	F	F	F	F	30	F	F	F	F
36	0	0	0	0	39	34	2	31268	0	5	10	12	F	F	F	F	200	F	F	F	F
36	3	7	59	1	48	33	2	31299	0	4	10	27	F	F	F	F	290	F	T	F	F
24	0	0	0	0	48	21	0	31246	0	5	5	12	F	F	F	F	0	F	F	F	F
36	7	12	204	4	33	31	7	31328	0	2	8	18	F	F	F	F	910	F	F	F	F
0	1	0	0	0	24	-6	1	31124	0	1	0	5	T	F	F	F	130	T	F	F	F
0	1	0	0	0	42	-3	0	31193	0	5	9	4	T	F	F	F	30	F	T	F	F
12	0	0	0	0	38	6	0	31207	0	4	10	48	F	F	F	F	0	F	F	F	F
36	0	0	0	0	31	24	2	31308	0	4	9	38	T	F	F	F	200	F	F	F	F
24	0	0	0	0	37	15	5	31360	0	5	7	5	F	F	F	T	500	F	F	F	F
36	0	0	0	0	40	27	1	9805	0	3	8	49	F	F	F	F	100	T	F	F	T
12	0	0	0	0	31	9	0	9878	0	3	7	3	F	F	F	F	0	F	F	F	F
36	0	0	0	0	44	28	0	10214	0	1	10	2	F	F	F	F	0	F	F	F	F
24	0	0	0	0	60	17	0	10230	0	3	9	23	F	F	F	F	0	F	F	F	F
12	0	0	0	0	40	8	0	10264	0	6	11	1	F	F	F	F	0	F	T	F	F
24	5	13	423	5	10	13	1	10298	0	5	0	1	F	F	F	F	250	T	T	F	F
36	6	11	160	3	31	33	1	10382	0	1	6	49	T	T	F	F	280	F	F	T	F
12	0	0	0	0	49	8	7	10457	0	5	0	19	F	F	F	F	700	F	F	F	T
48	0	0	0	0	15	35	2	21353	0	3	9	16	F	T	F	F	200	F	F	F	T
12	0	0	0	0	19	7	0	21446	0	4	10	35	F	F	F	T	0	F	F	F	F
48	0	0	0	0	62	37	1	21471	0	4	11	36	F	F	F	F	100	F	F	F	F
12	0	0	0	0	52	8	0	21521	0	4	8	48	F	F	F	F	0	F	F	F	F
48	2	8	129	1	35	39	5	21562	0	5	7	27	F	F	F	F	560	F	F	T	F
48	56	34	313	27	47	37	0	21653	0	5	6	23	F	F	F	F	1680	F	F	F	T
24	2	8	129	1	31	16	1	21728	0	5	11	49	F	F	F	F	160	F	F	F	F
36	13	20	520	13	72	32	1	21778	0	7	0	2	F	F	F	F	490	F	F	F	T
48	0	0	0	0	41	36	1	21839	0	6	10	38	T	T	F	F	100	F	F	F	F
0	0	0	0	0	57	-4	3	21844	0	3	6	25	F	F	F	F	300	F	F	T	F
36	0	0	0	0	39	27	1	21855	0	5	7	40	F	F	T	F	100	F	F	F	F
12	4	10	188	2	55	10	0	34818	0	6	10	26	F	F	F	F	120	T	F	F	F
24	2	9	188	2	22	16	0	34820	0	4	8	41	F	T	F	F	60	F	F	F	F
